LÄNSKOD;KOMMUNKOD;LÄNSNAMN;KOMMUNNAMN;M;C;L;KD;S;V;MP;SD;FI;AfS;BASIP;CSIS;DD;DjuP;EAP;ENH;FHS;Gup;INI;KLP;KrVP;LPo;MED;NMR;NORRP;NYREF;PP;RNP;S-FRP;SKP;SKÅ;TRP;VL-S;ÖVR;OGEJ;BLANK;OG;RÖSTER GILTIGA;RÖSTANDE;RÖSTBERÄTTIGADE;VALDELTAGANDE
1;14;Stockholms län;Upplands Väsby;23,11;6,26;5,66;6,71;26,97;8,01;3,92;18,04;0,37;0,31;;;0,09;0,04;;0,04;;;;0,02;0,07;0,01;0,19;0,08;;;0,07;;0,02;0,01;;;;;0,04;0,69;0,06;25830;26036;30740;84,7
1;15;Stockholms län;Vallentuna;28,29;10,11;7,73;7,58;18,91;4,47;4,85;16,63;0,27;0,37;;;0,1;0,1;;0,1;;;0,01;0,01;;0,03;0,25;0,06;;;0,1;;;0;;0;;0;0,02;0,59;0,08;20952;21099;23438;90,02
1;17;Stockholms län;Österåker;29,68;9,35;7,48;7,13;19,71;4,97;4,44;16,09;0,3;0,27;;;0,05;0,02;;0,09;;;0,01;;0;0;0,31;0,02;;;0,05;;;0,02;;;;0,01;0,03;0,69;0,13;27711;27947;31309;89,26
1;20;Stockholms län;Värmdö;27,49;9,76;6,4;5,89;20,48;6,02;5,41;17,19;0,36;0,29;0;;0,07;0,07;;0,15;;;0,02;0,01;0,04;0,01;0,24;0,03;;;0,04;;;0;;;;0,01;0,04;0,67;0,07;28115;28335;31371;90,32
1;23;Stockholms län;Järfälla;23,96;6,31;6,04;6,29;27,68;8,75;4,54;15;0,34;0,33;;;0,08;0,03;;0,05;;;0,01;0,01;0,17;0,01;0,21;0,04;;0;0,1;;0,01;0,03;;0;;0,02;0,04;0,53;0,07;45654;45948;53230;86,32
1;25;Stockholms län;Ekerö;28,12;11,24;7,64;7,85;17,17;4,76;5,7;16,21;0,34;0,35;0,01;;0,1;0,03;;0,04;;;0,01;0,02;0,04;;0,31;0,01;;;0,04;;0,01;0,01;;;;0,01;0,01;0,64;0,08;17814;17946;19472;92,16
1;26;Stockholms län;Huddinge;24,07;7,52;6,14;5,35;26,1;8,63;5,32;15,17;0,49;0,42;0,01;;0,1;0,04;0;0,05;;;0,02;0,04;0,06;0;0,29;0,03;;0;0,13;;;0,01;;;;0,01;0,04;0,58;0,07;61440;61869;72839;84,94
1;27;Stockholms län;Botkyrka;18,52;5,19;4,39;8,13;32,34;9,85;3,85;16,05;0,44;0,27;0,04;;0,06;0,17;0;0,06;;;0,02;0;0,11;0,01;0,19;0,03;;0,01;0,17;;;0,04;;;;0,06;0,03;0,64;0,05;45393;45719;58436;78,24
1;28;Stockholms län;Salem;24,84;7,61;7,58;7,98;23,07;5,98;4,48;16,88;0,32;0,31;0,01;;0,05;0,03;;0,06;;;;0,03;0,15;;0,34;0,04;;;0,22;;;0,02;;;;;0,04;0,75;0,02;9985;10066;11463;87,81
1;36;Stockholms län;Haninge;22,94;6,06;5,11;5,36;27,29;7,99;3,71;19,89;0,38;0,45;0,02;;0,09;0,13;;0,06;;;0;0,03;0,06;0,02;0,22;0,05;;0;0,12;;0,01;0,01;;0;;0,01;0,05;0,79;0,05;50484;50940;59890;85,06
1;38;Stockholms län;Tyresö;25,84;7,93;6,94;5,75;23,87;6,37;5,41;16,33;0,38;0,32;;;0,09;0,15;0,01;0,08;;;0;0,01;0,04;0,01;0,31;0,02;;;0,15;;;0,01;;;;0;0,03;0,64;0,06;30260;30482;33776;90,25
1;39;Stockholms län;Upplands-Bro;23,16;6,01;5,43;7,54;26,16;6,65;3,25;20,11;0,34;0,43;;;0,05;0,11;;0,07;;;0,01;0,01;0,2;0,01;0,29;0,06;;;0,06;;0,02;0,01;;;;0,01;0,04;0,75;0,05;16366;16506;19023;86,77
1;40;Stockholms län;Nykvarn;27,24;7,65;4,56;6,06;22,42;3,52;2,98;24,55;0,25;0,37;;;;0,01;;0,1;;;0,03;0,01;0,03;0,03;0,13;0,03;;;0,03;;;;;;;;;0,93;0,07;6847;6916;7623;90,73
1;60;Stockholms län;Täby;35,97;10,98;10,71;8,31;13,99;3,2;4,11;11,41;0,26;0,33;;;0,05;0,05;;0,04;;;0;0,02;0,09;0;0,35;0,02;;;0,07;;;0,01;;;;0,01;0,01;0,44;0,04;46386;46616;51157;91,12
1;62;Stockholms län;Danderyd;41,59;11,28;11,19;10,1;8,04;2,36;3,77;10,33;0,28;0,32;0,01;;0,05;0,05;;0,04;;;0,05;0,02;0,11;0;0,36;0,01;;;0,06;;;0,01;;;;;0,03;0,24;0,03;21897;21961;23891;91,92
1;63;Stockholms län;Sollentuna;28,07;10,18;8,97;7,53;20,85;6,49;5,25;11,24;0,33;0,35;0,01;;0,1;0,02;;0,07;;;0,02;0,02;0,06;0;0,3;0,01;;;0,08;;0;0,04;;;;0,01;0,03;0,5;0,06;43676;43934;49597;88,58
1;80;Stockholms län;Stockholm;21,88;9,07;7,85;4,87;23,76;13,12;7,7;9,84;0,71;0,36;0,01;;0,08;0,07;0;0,07;;;0,03;0,03;0,05;0,01;0,29;0,02;;0;0,14;;0;0,02;;;;0,01;0,04;0,49;0,06;611206;614860;704157;87,32
1;81;Stockholms län;Södertälje;19,81;5,86;4,45;11,17;27,18;7,7;4,51;17,49;0,49;0,35;0,02;;0,09;0,03;0,01;0,17;;;0,04;0,01;0,22;0,02;0,21;0,05;;0,01;0,1;;;0;;;;0;0,03;0,76;0,06;48273;48684;62783;77,54
1;82;Stockholms län;Nacka;28,73;12,18;8,41;6,1;19,37;6,54;6,54;10,76;0,41;0,28;0;;0,07;0,06;0;0,06;;;0,02;0,02;0,03;0,01;0,3;0,02;;0;0,07;;;0;;;;0;0,03;0,49;0,04;64101;64465;71629;90
1;83;Stockholms län;Sundbyberg;22,37;8,05;7,06;5,03;26,6;11,04;5,97;12,24;0,43;0,39;;;0,09;0,13;;0,09;;;0,01;0,01;0,05;0;0,27;0,02;;;0,13;;0,01;0,01;;;;0,01;0,03;0,59;0,05;29807;30009;35047;85,63
1;84;Stockholms län;Solna;23,71;9,03;8,12;5,8;24;9,89;6,35;11,3;0,57;0,35;;;0,09;0,04;0;0,07;;;0,03;0,06;0,05;0;0,36;0,02;;0;0,13;;0,01;0,03;;;;0;0,03;0,46;0,06;50510;50788;58093;87,43
1;86;Stockholms län;Lidingö;36,02;11,79;10,78;8,59;12,35;3,5;4,94;10,96;0,25;0,25;;;0,04;0,01;0,01;0,03;;;0,02;0,01;0,02;0,01;0,36;0,01;;;0,05;;;;;;;;0,01;0,28;0,04;31032;31138;34536;90,16
1;87;Stockholms län;Vaxholm;30,31;13,3;7,76;7,9;16,37;4,7;5,5;13,05;0,3;0,16;;;0,04;0,04;;0,12;;;;0,01;;;0,31;0,06;;;0,06;;;;;;;0,01;0,04;0,48;0,06;8106;8153;8791;92,74
1;88;Stockholms län;Norrtälje;22,23;9,6;4,74;5,92;26,24;6,21;3,76;19,89;0,35;0,33;0,01;;0,08;0,03;;0,08;;;0,01;0,04;0,01;0,18;0,14;0,08;;;0,06;;;0;;;;0;0,02;1,09;0,02;41174;41643;47811;87,1
1;91;Stockholms län;Sigtuna;24,66;6,65;4,93;7,56;25,49;6,39;3,45;19,28;0,31;0,39;0;;0,09;0,15;;0,05;;;0,01;0,02;0,07;0,03;0,24;0,06;;;0,14;;;;;;;0,02;0,04;0,68;0,04;25576;25772;31071;82,95
1;92;Stockholms län;Nynäshamn;21,05;6,44;4,49;5,82;27,28;6,76;3,76;23,08;0,28;0,35;0,01;;0,06;0,02;;0,1;;;0,02;0,02;0,03;0,02;0,21;0,04;;;0,16;;;0,01;;;;;0,05;0,85;0,07;17642;17815;20606;86,46
3;5;Uppsala län;Håbo;26,56;7,1;5,35;6,51;21,13;5,2;2,8;24,17;0,17;0,25;0,02;;0,08;0,03;;0,19;;;;0,01;0,04;0,03;0,16;0,1;;;0,07;;0,01;;;;;0,01;0,01;0,92;0,07;13395;13530;15185;89,1
3;19;Uppsala län;Älvkarleby;11,65;4,41;3,43;4,28;39,27;6,82;2,21;26,74;0,25;0,33;;;0,15;0,05;;0,1;;;;0,02;0,03;0,07;0,03;0,1;;;0,05;;;;;;;;;1,2;0,08;6009;6087;6955;87,52
3;30;Uppsala län;Knivsta;23,31;10,7;7,24;8,55;20,83;5,42;5,44;16,92;0,51;0,33;;;0,07;0,04;0,01;0,05;;;;0,04;0,04;0,06;0,26;0,04;;;0,13;;;;;;;0,01;0,04;0,62;0,03;11276;11353;12429;91,34
3;31;Uppsala län;Heby;13,78;13,2;2,98;8,01;29,14;5,54;2,35;22,88;0,6;0,44;;;0,09;0,06;;0,12;;;0,01;;0,03;0,45;0,18;0,02;;;0,13;;;;;;;;0,03;1,38;0,04;9064;9198;10607;86,72
3;60;Uppsala län;Tierp;13,79;11,34;3,12;5,41;33,88;6,61;2,72;20,94;0,43;0,47;0,01;;0,1;0,04;;0,13;;;;0,01;0,04;0,65;0,15;0,04;;;0,1;;;;;;;0,01;0,05;1;0,02;13802;13951;15945;87,49
3;80;Uppsala län;Uppsala;18,42;8,93;7,41;6,9;26,48;10,98;7,21;11,52;0,76;0,35;0,01;;0,1;0,03;0;0,06;;;0,01;0,05;0,07;0,23;0,27;0,03;;;0,13;;0;0,05;;0;;0,01;0,03;0,61;0,03;144667;145641;162767;89,48
3;81;Uppsala län;Enköping;22,92;9,99;4,58;6,57;26,08;4,72;3,11;20,35;0,38;0,39;;;0,11;0,01;;0,1;;;0,01;0,01;0,03;0,22;0,21;0,04;;;0,15;;;0,02;;;;0,01;0,03;0,78;0,07;28462;28715;32735;87,72
3;82;Uppsala län;Östhammar;17,42;8,82;4,08;8,44;30,91;5,06;2,55;21,12;0,3;0,34;;;0,11;0,03;;0,09;;;0,01;0,01;0,04;0,49;0,09;0,01;;;0,07;;;0,01;;;;0,02;0,03;0,98;0,03;14814;14969;17275;86,65
4;28;Södermanlands län;Vingåker;15,73;7,04;2,64;6,14;33,38;7,09;2,76;24,35;0,25;0,24;;;0,03;0,03;;0,08;;;;;0,02;0,12;0,03;0,05;;;0,02;;;;;;;;0,08;0,92;0,07;5913;5977;6755;88,48
4;61;Södermanlands län;Gnesta;20,17;10,72;3,46;5,13;25,8;8,26;5,38;18,79;1,19;0,3;;;0,1;0,06;;0,28;;;0,04;;0,07;;0,15;0,06;;;0,01;;;;;;;0,03;0,1;1,03;0,11;7217;7307;8263;88,43
4;80;Södermanlands län;Nyköping;20,08;8,54;4,51;6,43;31,96;6,44;4,48;16,11;0,41;0,42;0,01;;0,1;0,04;;0,05;;;0,01;0,04;0,02;0,07;0,14;0,08;;;0,05;;;;;;;0;0,03;0,83;0,06;36687;37029;41758;88,68
4;81;Södermanlands län;Oxelösund;15,89;4,24;3,31;4,73;39,67;8,83;3,07;18,81;0,4;0,45;;;0,11;;;0,01;;;;0,01;;0,01;0,2;0,04;;;0,2;;;;;;;0,01;0,01;1,02;0,09;7545;7631;8803;86,69
4;82;Södermanlands län;Flen;16,86;8,3;3,18;5,59;32,99;6,92;3,51;21,25;0,29;0,43;0,01;;0,04;;;0,07;;;0,01;0,01;0,07;0,16;0,14;0,06;;;0,09;;;;;;;0,02;0,03;0,82;0,02;10118;10207;11871;85,98
4;83;Södermanlands län;Katrineholm;17,35;8,02;3,79;5,3;37,32;5,99;3,25;17,8;0,29;0,4;;;0,07;0,01;;0,06;;;;0,01;0;0,1;0,16;0,03;;;0,06;;;0;;;;0,01;0,01;1,02;0,04;21583;21816;25171;86,67
4;84;Södermanlands län;Eskilstuna;19,92;5,92;4,74;4,83;32,24;6,84;3,26;20,96;0,3;0,3;0;;0,07;0,04;;0,08;;;0,02;0,03;0,02;0,03;0,26;0,03;;;0,08;;;0;;;;0;0,04;0,92;0,08;62678;63335;74782;84,69
4;86;Södermanlands län;Strängnäs;26,71;8,04;4,92;5,88;23,57;5,99;3,85;19,81;0,22;0,32;;;0,06;0,02;0;0,12;;;0,01;0,01;;0,13;0,19;0,04;;;0,08;;;;;;;0,01;0,02;0,96;0,06;22844;23084;26105;88,43
4;88;Södermanlands län;Trosa;27,15;9,18;4,68;6,3;23,39;5,3;4,13;18,8;0,36;0,17;;;0,07;0,01;;0,1;;;0,01;0,02;0,02;0,01;0,24;0,03;;;0,02;;;;;;;;0,07;0,59;0,03;8864;8926;9862;90,51
5;9;Östergötlands län;Ödeshög;16,65;10,26;2,31;15,07;26,1;4,13;2,59;20,87;0,65;0,53;;;0,08;0,06;;0,22;;;;0,03;;0,11;0,06;0,03;;;0,08;;;;;0,11;;0,06;;0,7;0,03;3556;3582;4031;88,86
5;12;Östergötlands län;Ydre;15,83;14,91;3,63;12,39;22,86;5,47;2,98;20,49;0,46;0,19;;;;;;0,11;;;;;0,04;0,42;0,08;0,04;;;0,11;;;;;;;;0,04;0,46;;2616;2629;2881;91,25
5;13;Östergötlands län;Kinda;16,88;12,18;3,57;7,98;27,48;5,94;3,75;20,6;0,21;0,17;0,03;;0,06;0,03;;0,2;;;0,02;0,02;;0,68;0,05;0,02;;;0,15;;;;;;;;;1,01;0,03;6664;6734;7556;89,12
5;60;Östergötlands län;Boxholm;15,03;9,55;2,73;5,78;37,68;4,94;2,51;19,68;0,32;0,32;0,35;;0,19;0,05;0,03;0,24;;;;;;0,24;0,11;0,03;;;0,22;;;;;;;;0,03;1,23;;3705;3752;4212;89,08
5;61;Östergötlands län;Åtvidaberg;16,56;9,71;4,04;5,93;33,42;4,99;2,87;21,28;0,29;0,2;0,02;;0,04;;;0,07;;;;0,01;0,01;0,3;0,15;0,04;;;0,06;;;;;;;;0,02;1,04;0,02;8013;8101;9074;89,28
5;62;Östergötlands län;Finspång;15,13;6,46;3,44;6,27;36,67;7,43;2,48;20,5;0,33;0,36;0,01;0,01;0,07;0,14;;0,06;;;;0,04;0,06;0,18;0,22;0,03;;;0,09;;;;;0,01;;0,01;0,04;1,02;0,05;14285;14445;16450;87,81
5;63;Östergötlands län;Valdemarsvik;17,31;10,6;2,7;7,19;30,08;5,39;2,03;23,28;0,15;0,2;;;0,04;0,04;;0,07;;;0,02;;0,07;0,48;0,15;0,04;;;0,11;;;;;0,04;;0,02;0,02;1,14;0,02;5379;5443;6157;88,4
5;80;Östergötlands län;Linköping;22,19;9,65;7,16;6,49;27,55;6,43;5,64;13,17;0,44;0,32;0,01;;0,14;0,07;;0,05;;;0;0,05;0,04;0,05;0,34;0,02;;;0,18;;;0;;0,03;;0,01;0,03;0,74;0,04;105664;106534;119438;89,2
5;81;Östergötlands län;Norrköping;20,46;6,5;4,81;6,44;28,34;8,13;4,04;19,61;0,47;0,32;0,01;;0,08;0,07;;0,09;;;0;0,05;0,05;0,14;0,21;0,03;;0;0,1;;;0,01;;0,02;;0,01;0,03;0,82;0,05;89045;89860;104100;86,32
5;82;Östergötlands län;Söderköping;21,68;10,91;4,97;7,84;22,42;5,52;3,5;21,89;0,23;0,25;0,02;;0,07;0,02;;0,16;;;0,02;0,01;0,02;0,25;0,14;0,01;;;0,05;;;;;0,02;;;;0,91;0,05;9955;10051;11183;89,88
5;83;Östergötlands län;Motala;19,51;6,79;4,43;6,23;32,67;6,35;2,67;20,32;0,31;0,2;0,01;;0,04;0,03;;0,05;;;0;0,01;0,01;0,09;0,13;0,05;;;0,04;;;;;0,06;;0,01;0,02;1,05;0,06;28450;28775;32611;88,24
5;84;Östergötlands län;Vadstena;22,53;9,25;3,74;7,34;29,08;5,91;3,92;16,86;0,54;0,26;0,02;;0,06;0,06;;0,08;;;;;0,06;0,09;0,08;0,02;;;0,09;;;;;0,02;;;0,09;0,74;0,06;5327;5375;6026;89,2
5;86;Östergötlands län;Mjölby;20,28;8,17;4,43;6,41;31,7;5,68;2,83;19,41;0,28;0,25;0,01;;0,06;0,07;;0,05;;;0,01;0,02;0,04;0,07;0,15;0,03;;;0,05;;;;;0,01;;0,01;0,02;1,07;0,04;18119;18326;20677;88,63
6;4;Jönköpings län;Aneby;16,19;12,78;3,39;14,54;23,92;4,01;2,34;21,11;0,2;0,42;0,02;;0,04;;;0,2;;;;0,02;0,36;0,16;0,16;0,09;;;0,02;;;;;;;0,02;;0,84;;4485;4523;5029;89,94
6;17;Jönköpings län;Gnosjö;18,46;9,77;3,19;14,96;26,32;2,84;1,84;21,78;0,15;0,24;;;0,05;;;0,05;;;;;0,12;0,03;0,14;;;;0,05;;;;;;;;;0,86;0,05;5855;5909;6871;86
6;42;Jönköpings län;Mullsjö;14,12;6,99;2,63;17,91;25,3;5,37;4;22,08;0,17;0,27;0,12;;0,06;;;0,15;;;;;0,19;0,15;0,19;;;;0,31;;;;;;;;0,02;0,99;;4823;4872;5440;89,56
6;43;Jönköpings län;Habo;19,73;8,77;4,22;15,13;23,74;3,91;3,36;20,01;0,19;0,32;0,01;;0,04;;;0,1;;;;0,01;0,15;0,17;0,09;0,01;;;0,03;;;;;;;;0,06;0,88;0,06;7746;7825;8382;93,35
6;62;Jönköpings län;Gislaved;18,37;11,89;3,19;7,85;29,42;3,93;2,25;22,28;0,15;0,18;;;0,05;0,01;0,01;0,03;;;;0,01;0,01;0,1;0,17;0,04;;;0,05;;;0,01;;;;0,01;0,06;0,97;0,04;17752;17944;21068;85,17
6;65;Jönköpings län;Vaggeryd;15,26;10,35;3,59;13,05;29,33;4,16;2,64;20,38;0,17;0,34;;;0,09;0,01;;0,09;;;;0,02;0,23;0,02;0,16;0,02;;;0,05;;;0,02;;;;0,01;0,02;0,89;0,02;8813;8896;10108;88,01
6;80;Jönköpings län;Jönköping;18,62;9,21;4,64;12,25;27,62;5,91;4,16;16,38;0,36;0,25;0;;0,07;0,02;;0,07;;;0;0,03;0,12;0,03;0,16;0,01;;;0,07;;;;;;;0,01;0,02;0,73;0,04;90129;90846;102880;88,3
6;82;Jönköpings län;Nässjö;15,41;8,42;3,46;10,77;29,38;5,4;2,87;22,91;0,32;0,35;;;0,07;0,02;;0,05;;;;0,02;0,12;0,13;0,15;0,06;;;0,09;;;;;;;0,01;0,02;0,87;0,02;19397;19573;22254;87,95
6;83;Jönköpings län;Värnamo;18,1;12,59;3,58;11,55;28,45;3,75;2,54;18,4;0,15;0,31;0;;0,07;0,01;;0,04;;;0;0,01;0,18;0,08;0,13;0,01;;;0,05;;;;;;;;0,01;0,87;0,06;22268;22480;25634;87,7
6;84;Jönköpings län;Sävsjö;16,42;9,89;2,36;17,94;22,05;3,17;1,66;25,55;0,13;0,33;;;0,04;;;0,03;;;;0,01;0,2;0,13;0,03;0,01;;;0,03;;;;;;;;;0,96;0,04;7028;7099;8117;87,46
6;85;Jönköpings län;Vetlanda;16,93;10,94;3,48;11,57;27,81;3,91;2,13;22,14;0,21;0,3;;;0,03;0,02;;0,06;;;;0,02;0,05;0,15;0,08;0,04;;;0,09;;;0,01;;;;0,01;0,02;0,89;0,02;17711;17878;20267;88,21
6;86;Jönköpings län;Eksjö;16,96;12,42;4,37;10,54;26,69;4,73;3,16;19,6;0,22;0,27;;;0,07;0,02;;0,07;;;;;0,11;0,23;0,25;0,04;;;0,26;;;;;;;;0,01;1,21;0,03;11294;11437;12932;88,44
6;87;Jönköpings län;Tranås;16,7;9,18;3,98;9,15;31,67;5,35;3,09;19,49;0,2;0,37;0,03;;0,06;0,06;;0,06;;;;0,01;0,2;0,02;0,18;0,02;;;0,2;;;;;;;;0,02;0,84;0,03;12279;12390;13999;88,51
7;60;Kronobergs län;Uppvidinge;14,61;11,87;2,21;7,34;28,82;5,88;1,69;26,24;0,17;0,4;0,02;;0,03;0,02;;0,09;;;;0,02;0,03;0,31;0,19;0,02;;;0,02;;;;;;;;0,07;1,53;0,05;5735;5831;6716;86,82
7;61;Kronobergs län;Lessebo;13,62;7,26;2,54;5,44;38,35;7,15;2,48;22,13;0,32;0,28;0,02;;0,06;0,02;;0,04;;;;;;0,06;0,1;0,06;;;0,04;;;;;;;0,02;0,06;1,21;0,08;4962;5030;5732;87,75
7;63;Kronobergs län;Tingsryd;15,65;11,65;1,79;8,36;27,32;4,82;2;27,1;0,3;0,39;;;0,09;0,03;0,01;0,08;;;;0,04;0,03;0,16;0,11;;;;0,03;;;;0,01;;;0,03;;1,12;0,08;7881;7976;9205;86,65
7;64;Kronobergs län;Alvesta;17,77;9,12;2,85;7,43;28,64;5;2,61;25,14;0,24;0,42;0,1;;0,03;0,02;;0,15;;;0,04;0,01;0,07;0,11;0,13;0,04;;;0,06;0,02;;;;;;;0,02;0,89;0,05;12331;12450;14097;88,32
7;65;Kronobergs län;Älmhult;18,66;11,14;3,38;7,05;29,56;4,84;2,98;21,34;0,2;0,17;;;0,1;0,01;;0,06;;;;;0,04;0,27;0,09;0,02;;;0,09;;;;;;;0,01;0,05;0,89;0,04;10067;10166;11588;87,73
7;67;Kronobergs län;Markaryd;16,51;6,23;1,82;10,58;27,04;3,13;1,57;31,53;0,22;0,22;;;0,18;;;0,03;;;;0,12;0,25;0,39;0,07;0,03;;;0,08;;;;;;;;0,03;1,16;0,02;5973;6046;7052;85,73
7;80;Kronobergs län;Växjö;21,37;9,15;4,43;7,18;30,01;7,19;4,16;15,38;0,32;0,28;0,01;;0,09;0,03;;0,08;;;0,01;0,01;0,02;0,04;0,14;0,02;;;0,05;0;;0,01;;;;0,01;0,01;0,71;0,03;59550;60003;67177;89,32
7;81;Kronobergs län;Ljungby;18,62;9,34;3,05;8,48;28,31;4,9;2,48;23,4;0,22;0,34;0,01;;0,08;0,02;;0,09;;;0,01;0,07;0,12;0,23;0,15;0,02;;;0,07;;;0,01;;;;0,01;0,02;1,06;0,05;18071;18278;21030;86,91
8;21;Kalmar län;Högsby;14,97;9,78;1,53;7,56;31,82;5,28;1,53;26,69;0,14;0,2;;;0,03;;;0,03;;;;0,06;;0,14;0,14;;;;0,09;;;;;;;;0,03;0,77;0,06;3466;3496;4071;85,88
8;34;Kalmar län;Torsås;12,73;11,99;2,86;7,37;28,68;4,43;2,08;28,77;0,23;0,21;0,02;;0,04;0,02;;0,04;;;;0,02;0,06;0,13;0,28;0,02;;;0,02;;;;;;;;;0,76;;4721;4757;5409;87,95
8;40;Kalmar län;Mörbylånga;18,53;11,22;3,92;7,32;27,13;5,91;4,03;20,58;0,34;0,23;;;0,04;0,04;;0,09;;;0,02;;0,13;0,11;0,18;0,02;;;0,06;;;0,01;;0,09;;0,01;0,01;0,94;0,04;10367;10470;11419;91,69
8;60;Kalmar län;Hultsfred;13,87;10,62;1,84;9,38;33,61;5,89;1,58;21,83;0,12;0,52;0,01;;0,01;;;0,02;;;;0,07;0,09;0,22;0,07;0,08;;;0,16;;;;;;;0,01;0,06;0,88;0,02;8661;8745;10187;85,84
8;61;Kalmar län;Mönsterås;13,84;10,02;3,06;6,49;31,87;5,31;2,09;26,27;0,17;0,39;;;0,07;0,02;;0,04;;;0,01;;0,01;0,08;0,1;0,02;;;0,12;;;;;;;0,01;0,03;1,03;0,04;8911;9011;10095;89,26
8;62;Kalmar län;Emmaboda;14,39;11,42;2,45;6,12;33,54;5,78;2,42;22,3;0,34;0,49;;;0,07;;;0,15;;;0,03;0,03;;0,15;0,14;0,07;;;0,08;;;;;;;0,03;0,02;1,33;;5919;6000;6900;86,96
8;80;Kalmar län;Kalmar;19,71;9,2;4,91;6,55;30,35;6,71;4,17;17,09;0,4;0,3;0;;0,09;0,03;;0,09;;;0,02;0,01;0,04;0,03;0,2;0,02;;;0,08;;;0,01;;0;;;0,03;0,83;0,03;45641;46053;51639;89,18
8;81;Kalmar län;Nybro;14,76;10,21;2,89;7,5;32,75;5,93;1,81;22,71;0,32;0,49;;;0,06;0,02;;0,13;;;;0,02;0,1;0,09;0,15;0,02;;;0,05;;;;;;;0,01;0,02;1,2;0,02;12697;12857;14848;86,59
8;82;Kalmar län;Oskarshamn;18,15;6,04;4,67;8,21;32,25;5,9;1,7;22,22;0,15;0,24;;;0,11;0,03;;0,04;;;;0,01;0,01;0,08;0,15;0,01;;;0,02;;;;;;;;0,02;0,94;0,03;17870;18048;20491;88,08
8;83;Kalmar län;Västervik;16,91;8,77;3,88;6,33;34,31;6,66;2,82;19,16;0,3;0,31;0,01;;0,03;0,03;;0,06;;;;0;0,03;0,16;0,16;0,03;;;0,03;;;0;;;;;0,01;0,97;0,05;24571;24829;28767;86,31
8;84;Kalmar län;Vimmerby;16,29;13,49;2,01;8,28;30,35;5,6;2,32;20,25;0,32;0,26;;;0,04;;;0,04;;;;0,01;0,04;0,46;0,1;;;;0,13;;;;;;;0,02;0,01;1,06;0,04;10358;10474;11873;88,22
8;85;Kalmar län;Borgholm;18,9;14,19;3,42;8,34;23,73;5,66;3,14;21,39;0,23;0,16;0,01;;0,07;0,05;;0,08;;;0,08;;0,14;0,09;0,13;0,01;;;0,17;;;;;;;;0,05;0,77;0,05;7682;7750;8748;88,59
9;80;Gotlands län;Gotland;16,59;17,2;3,74;4,13;29,79;9,01;4,95;12,71;0,94;0,16;0,02;;0,1;0,09;;0,12;;;;0,01;0,01;0,16;0,13;0,04;;;0,08;;;;;0;;0,01;0,03;1,02;0,07;41129;41598;46871;88,75
10;60;Blekinge län;Olofström;12,02;6,5;2,3;4,92;36,63;5,66;1,92;28,87;0,24;0,34;0,01;;0,11;0,04;;0,05;;;;0,02;0,02;0,11;0,08;0,04;;;0,07;;;;;0,01;;0,04;0,07;1,14;0,05;8337;8443;9930;85,03
10;80;Blekinge län;Karlskrona;18,35;7,17;5,2;6,22;31,24;5,55;3,39;21,56;0,31;0,23;0,02;;0,11;0,02;;0,08;;;0,02;0,01;0,05;0,02;0,25;0,02;;;0,16;;;;0;;;0,01;0,02;0,9;0,05;44317;44753;49784;89,89
10;81;Blekinge län;Ronneby;16,23;7,05;3,24;5,2;29,91;5,51;2,14;29,42;0,33;0,34;;;0,17;0,03;;0,07;;;;;0,01;0,04;0,18;0,04;;;0,11;;;;;;;;0,02;0,84;0,08;18634;18810;21450;87,69
10;82;Blekinge län;Karlshamn;16,94;6,49;3,39;5,11;32,99;6,09;3,35;24,34;0,44;0,31;0,01;;0,1;0,01;;0,05;;;0,01;0;0,03;0,07;0,08;0,01;;;0,16;;;;;;;0,01;0,02;1,04;0,05;21439;21680;24694;87,79
