LÄNSKOD;KOMMUNKOD;LÄNSNAMN;KOMMUNNAMN;M;C;L;KD;S;V;MP;SD;FI;AfS;BASIP;CSIS;DD;DjuP;EAP;ENH;FHS;Gup;INI;KLP;KrVP;LPo;MED;NMR;NORRP;NYREF;PP;RNP;S-FRP;SKP;SKÅ;TRP;VL-S;ÖVR;OGEJ;BLANK;OG;RÖSTER GILTIGA;RÖSTANDE;RÖSTBERÄTTIGADE;VALDELTAGANDE
10;83;Blekinge län;Sölvesborg;19,05;5,68;3,15;6,13;27,82;3,7;2,09;31,23;0,31;0,2;0,03;;0,04;0,01;;0,03;;;;0,02;0,09;0,16;0,11;0,03;;;0,13;;;;;;;;0,03;1,1;0,07;11787;11930;13518;88,25
12;14;Skåne län;Svalöv;15,05;9,33;3,69;5,09;23,04;4,64;2,59;34,34;0,7;0,46;0,02;;0,08;0,22;;0,12;;;;0,04;;0,15;0,16;0,02;;;0,23;;;;;0,01;;0,01;0,01;1,02;0,07;8533;8628;9843;87,66
12;30;Skåne län;Staffanstorp;27,81;7,58;6,41;5,14;22,05;3,13;3,76;22,91;0,34;0,26;;;0,06;0,1;;0,06;;;;0,01;0,02;0,02;0,19;;;;0,1;;;0,01;0,04;0,01;;0,01;0,01;0,61;0,01;15733;15833;17448;90,74
12;31;Skåne län;Burlöv;19,35;5,03;4,73;3,55;32,41;6,23;3,37;23,9;0,46;0,34;;;0,06;0,1;;0,03;;;;;0,01;0,04;0,13;;;;0,14;;;0,07;0,03;0,03;;;0,02;0,85;0,07;10010;10105;12513;80,76
12;33;Skåne län;Vellinge;39,56;7,24;7,26;7,45;10,58;1,31;2,21;23,55;0,13;0,18;;;0,02;0,04;;0,04;;;0;0,04;;;0,24;0,02;;;0,07;;;0;0,02;0;;;0,02;0,4;0,04;25245;25360;27231;93,13
12;56;Skåne län;Östra Göinge;18,14;5,91;2,41;5,82;27,64;3,81;2,06;33,3;0,19;0,3;;;0,07;0,09;;0,03;;;0,01;0,01;;0,01;0,06;;;;0,1;;;0,02;;;;;0,05;1,32;0,11;8747;8878;10252;86,6
12;57;Skåne län;Örkelljunga;15,41;6,72;2,66;12,13;20,8;2,91;2,34;35,53;0,16;0,47;;;0,06;0,15;;0,02;;;0,03;;0,26;0,06;0,13;0,08;;;0,08;;;;;;;;;0,94;0,03;6192;6253;7333;85,27
12;60;Skåne län;Bjuv;14,35;3,61;2,61;4,2;30,37;3,63;1,83;38,36;0,2;0,39;;;0,07;;;0,01;;;;;0,02;0,05;0,16;0,03;;;0,09;;;;;;;0,01;0,03;1,06;0,08;8649;8752;10581;82,71
12;61;Skåne län;Kävlinge;25,66;7,65;6,37;5,18;22,63;2,81;3,31;25,03;0,29;0,27;0,06;;0,07;0,13;;0,07;;;;0,01;0,02;0,02;0,18;0,06;;;0,12;;;;0;0,02;;;0,01;0,64;0,02;20396;20534;22547;91,07
12;62;Skåne län;Lomma;33,16;9,33;9,97;6,38;16,69;2,54;3,82;17,11;0,24;0,27;;;0,05;0,05;0,01;0,04;;;;;;0,01;0,21;0,03;;;0,04;;;;0,03;;;;;0,51;0,04;16401;16492;17570;93,86
12;63;Skåne län;Svedala;22,61;5,98;5,35;5,27;21,87;3,2;2,95;31,47;0,22;0,29;0,01;;0,08;0,04;;0,05;;;0,02;0,02;0,01;0,09;0,17;0,02;;;0,15;;;;0,04;0,08;;;0,03;1;0,03;13735;13882;15272;90,9
12;64;Skåne län;Skurup;20,61;7,24;3,82;4,38;22,56;4,27;2,63;33,34;0,32;0,24;;;0,04;0,04;;0,07;;;;0,04;;0,04;0,27;0,04;;;0,05;;;;;0,01;;0,01;;0,96;0,03;10054;10154;11511;88,21
12;65;Skåne län;Sjöbo;18,22;7,05;2,92;6,17;19,09;3,31;2,42;39,23;0,52;0,31;0,02;;0,05;0,03;;0,07;;;;0,02;0,04;0,1;0,19;0,02;;;0,11;;;;0,03;0,06;;0,01;0,04;1,22;0,04;12418;12582;14532;86,58
12;66;Skåne län;Hörby;17,29;8,34;4,32;6,56;19,45;4,46;2,54;35,43;0,5;0,28;0,01;;0,06;0,09;;0,09;;;0,01;0,02;0,03;0,13;0,2;0,03;;;0,15;;;;;0,02;;;0,02;0,92;0,01;10064;10160;11722;86,67
12;67;Skåne län;Höör;18,9;7,76;5,48;6,43;19,32;6,18;5,63;28,16;0,62;0,32;0,01;;0,08;0,05;;0,22;;;0,01;;;0,09;0,32;0,01;;;0,2;;;0,02;0,02;0,18;;;0,04;1,08;0,05;10737;10863;12325;88,14
12;70;Skåne län;Tomelilla;17,72;9,46;2,95;4,67;23,16;4,27;2,94;33,19;0,52;0,42;;;0,07;0,06;0,01;0,08;;;0,01;0,01;0,03;0,12;0,13;0,08;;;0,07;;;0,01;;0,01;;0,01;0,05;1,51;0,06;8617;8758;10155;86,24
12;72;Skåne län;Bromölla;13,38;3,28;3,46;4,58;31,01;3,39;1,63;38,23;0,23;0,25;;;0,07;0,01;;0,05;;;;0,01;0,07;0,07;0,1;0,09;;;0,09;;;;;;;;0,02;1,24;0,05;8151;8259;9387;87,98
12;73;Skåne län;Osby;16,14;7,31;2,43;7,29;28,18;3,94;2,25;31,19;0,11;0,36;;;0,08;0,01;;0,11;;;;;0,06;0,26;0,18;0,06;;;0,05;;;;;;;;0,02;1,03;0,04;8385;8477;9741;87,02
12;75;Skåne län;Perstorp;16;5,04;2,4;5,33;29,33;3,32;1,96;35,29;0,24;0,32;;;0,15;0,24;;0,05;;;;;;0,05;0,12;;;;0,17;;;;;;;;0,05;1,2;0,05;4126;4180;5099;81,98
12;76;Skåne län;Klippan;15,73;5,81;3,09;6,75;24,18;4,02;2,25;36,64;0,25;0,58;0,03;;0,04;0,03;;0,09;;;;;;0,12;0,09;0,06;;;0,21;;;;0,04;0,01;;;0,02;1,31;0,07;10535;10685;12689;84,21
12;77;Skåne län;Åstorp;17,25;4,69;2,95;4,67;29,2;3,9;1,71;34,45;0,23;0,45;;;0,1;0,03;;0,03;;;;;;0,03;0,07;0,07;;;0,14;;;;;0,02;;;0,05;0,9;0,06;8719;8807;10692;82,37
12;78;Skåne län;Båstad;28,46;11,37;5,4;8,54;16,44;3,25;3,96;21,46;0,27;0,28;0,01;;0,06;0,11;0,01;0,09;;;;;;0,11;0,12;0,04;;;0,04;;;;;;;;0,05;0,91;0,03;10362;10465;11774;88,88
12;80;Skåne län;Malmö;19,48;5,69;5,59;3,84;29,1;11,91;5,58;16,8;0,78;0,27;0,01;;0,07;0,08;0;0,07;;0;0,02;0,02;0,03;0;0,21;0,02;;;0,18;;;0,05;0,13;0,06;;0;0,04;0,73;0,07;193298;194931;237691;82,01
12;81;Skåne län;Lund;19,13;9,71;9,76;4,75;23,18;9,73;9,13;12,24;0,91;0,35;0,01;;0,07;0,12;;0,06;;;0,02;0,06;0,05;0,01;0,4;0,02;;;0,23;;;0,04;0;0,02;;0,01;0,03;0,64;0,04;79575;80143;89308;89,74
12;82;Skåne län;Landskrona;17,63;4,47;6,73;4,05;32,08;5,13;3,19;25,39;0,5;0,24;;;0,04;0,02;;0,05;;;0;0,03;0,04;;0,13;0,02;;;0,15;;;;;0,1;;0,01;0,02;0,94;0,06;26783;27057;32424;83,45
12;83;Skåne län;Helsingborg;23,53;5,99;5,07;5,32;26,64;4,75;3,65;23,79;0,39;0,32;0;;0,08;0,02;;0,04;;;0;0,01;0,01;0,01;0,18;0,02;;;0,09;;;0,01;0;0,07;;0;0,01;0,76;0,04;88462;89185;105779;84,31
12;84;Skåne län;Höganäs;27,33;8,59;6,66;7,5;20,39;3,4;4,45;20,46;0,34;0,2;0,04;;0,06;0,02;;0,03;;;0,01;0,01;0,07;0,05;0,19;0,02;;;0,14;;;;;0,03;;0,01;0,03;0,72;0,07;17613;17758;19975;88,9
12;85;Skåne län;Eslöv;17,63;7,31;4,36;4,83;27,45;5,19;3,3;27,97;0,43;0,38;0,01;;0,05;0,3;;0,09;;;;0,05;;0,05;0,3;0,03;;;0,21;;;;0,01;0,02;;0,02;0,01;1,15;0,05;20665;20917;24227;86,34
12;86;Skåne län;Ystad;23,42;7,71;4,78;5,76;25,41;4,13;3,34;24,18;0,41;0,24;0,01;;0,04;0,04;;0,07;;;0,01;0;0;0,02;0,28;0,02;;;0,1;;;;0,01;;;0;0,02;1,11;0,06;20786;21036;23912;87,97
12;87;Skåne län;Trelleborg;21,5;5,7;4,5;5,18;24,87;3,88;2,52;30,71;0,28;0,27;;;0,06;0,13;;0,02;;;0;0,02;0,01;0,01;0,13;0,07;;;0,09;;;;0;0,01;;;0,02;1,04;0,07;28451;28778;33326;86,35
12;90;Skåne län;Kristianstad;21,8;5,85;6,16;5,55;26,19;4,12;2,79;26,46;0,24;0,23;0,01;;0,08;0,08;;0,06;;;0;0,02;0,02;0,04;0,16;0,04;;;0,09;;;0,01;;;;0,01;0,04;0,9;0,06;53957;54499;63119;86,34
12;91;Skåne län;Simrishamn;20,48;8,19;4,58;6,03;23,4;5,75;4,58;24,99;0,94;0,29;0,02;;0,06;0,11;;0,2;;;0,02;;0,01;0,03;0,16;0,05;;;0,11;;;;;0,01;;;0,03;1,04;0,04;13243;13392;15447;86,7
12;92;Skåne län;Ängelholm;25,28;8,08;4,67;7,35;22,31;3,72;3,18;24,24;0,26;0,22;0,01;;0,05;0,14;;0,11;;;;0,01;0;0,04;0,16;0,01;;;0,14;;;0;0;0;;0,02;0,01;0,95;0,04;28134;28418;32502;87,43
12;93;Skåne län;Hässleholm;18,04;6,91;4,14;7,26;25,51;4,56;3,1;29,12;0,33;0,32;;;0,07;0,05;;0,07;;;;0,02;0,04;0,09;0,14;0,03;;;0,16;;;0;;0,01;;0,01;0,04;1,07;0,05;33334;33727;38988;86,51
13;15;Hallands län;Hylte;14,42;11,66;3,3;6,57;31,19;3,95;1,92;25,79;0,26;0,36;;;0,05;0,02;;0,03;;;;;;0,12;0,17;0,07;;;0,05;;0,02;;;;;0,07;0,05;1,04;0,08;6056;6128;7210;84,99
13;80;Hallands län;Halmstad;21,3;8,24;5,31;6,23;30,43;5,52;3,69;17,71;0,41;0,23;0;;0,13;0,16;;0,06;;;0;0,03;0,04;0,03;0,19;0,01;;;0,14;;;0,02;;0,11;;0,01;0,03;0,87;0,03;65498;66118;75693;87,35
13;81;Hallands län;Laholm;18,89;11,74;4,46;7,59;23,34;3,91;2,99;25,69;0,24;0,24;;;0,04;0,01;;0,08;;;;;0,01;0,14;0,28;0,01;;;0,09;;;;;0,23;;0,01;0,03;1,06;0,03;16438;16625;18896;87,98
13;82;Hallands län;Falkenberg;18,83;12,3;4,31;6,95;30,22;5,1;3,42;17,55;0,41;0,3;0;;0,12;0,06;;0,04;;;0;0,01;0,02;0,1;0,13;0,02;;;0,1;;;;;;;0,02;0,02;0,86;0,06;29472;29753;33924;87,7
13;83;Hallands län;Varberg;20,69;11,13;5,78;7,49;28,32;5,58;3,69;16,13;0,26;0,28;0,01;;0,06;0,14;;0,08;;;;0,01;0,01;0,06;0,15;0,03;;;0,09;;;;;;;0,01;0,02;0,85;0,06;43469;43874;48730;90,03
13;84;Hallands län;Kungsbacka;30,61;9,75;7,59;7,82;16,32;3,7;3,66;19,31;0,28;0,27;0,01;;0,06;0,13;;0,07;;;0;0,01;0,05;0,02;0,21;0,02;;0;0,1;;;;;;;0,01;0,02;0,72;0,04;56049;56490;61538;91,8
14;1;Västra Götalands län;Härryda;23,95;9,31;8,14;6,49;21,55;5,83;5,55;17,67;0,4;0,43;0,01;;0,07;0,09;;0,11;;;0;0,01;0,01;0,01;0,26;0,05;;;0,06;;;;;;;0;0,05;0,71;0,02;24181;24370;26845;90,78
14;2;Västra Götalands län;Partille;23,2;7,89;7,19;6,91;23,78;8,1;5,31;16,33;0,36;0,22;0;;0,05;0,08;;0,03;;;0;0,01;0,07;0,01;0,17;0,04;;;0,2;;;0;;;;0,03;0,05;0,78;0,03;24080;24290;27649;87,85
14;7;Västra Götalands län;Öckerö;21,94;5,39;6,6;19,44;18,65;4,93;4,6;17,51;0,22;0,08;0,01;;0,15;0,01;;0,01;;;;;0,15;0,01;0,17;0,01;;;0,1;;;;;;;0,01;0,01;0,7;0,05;9170;9241;10072;91,75
14;15;Västra Götalands län;Stenungsund;23,84;7,3;6,24;6,83;25,95;5,39;4,06;19,28;0,3;0,24;0,01;;0,03;0,02;;0,13;;;;0,02;0,02;0,06;0,22;0,05;;;0,03;;;;;;;;0,03;0,91;0,06;17509;17686;19673;89,9
14;19;Västra Götalands län;Tjörn;21,62;7,66;6,91;12,27;20,56;5,09;3,8;20,8;0,41;0,23;0,01;;0,08;0,12;;0,05;;;;0,01;0,05;0,08;0,15;0,03;;;0,06;;;;;;;;0,02;0,74;0,04;11259;11350;12552;90,42
14;21;Västra Götalands län;Orust;19,36;10,14;5,17;6,74;25,4;6,72;3,75;21,25;0,4;0,24;0,02;;0,07;0,09;;0,13;;;;;0,03;0,1;0,2;0,07;;;0,08;;;;;;;0,04;0,09;1,4;0,06;10740;10910;12253;89,04
14;27;Västra Götalands län;Sotenäs;24,74;7,9;5,34;8,12;24,86;4,75;2,65;20,52;0,24;0,3;;;0,06;0,02;;0,02;;;;0,03;0,03;0,05;0,06;0,05;;;0,26;;;;;;;;0,08;0,72;;6592;6645;7533;88,21
14;30;Västra Götalands län;Munkedal;16,81;9,2;3,12;7,19;26,22;6,23;2,35;27,43;0,39;0,18;0,01;;0,07;0,13;;0,04;;;;0,01;0,12;0,25;0,1;0,04;;;0,04;;;;;;;0,01;0,01;1,15;0,04;6674;6756;7836;86,22
14;35;Västra Götalands län;Tanum;22,89;12,41;5,49;6,67;22,71;5,05;3,5;19,49;0,57;0,36;;;0,09;0,03;;0,08;;;;;0,08;0,27;0,23;0,01;;;0,03;;;0,01;;;;;0,02;0,95;0,01;8574;8659;9895;87,51
14;38;Västra Götalands län;Dals-Ed;16,25;12,67;2,9;10,39;24,08;3;2,21;27,04;0,2;0,24;;;0,14;;;;;;;0,03;0,2;0,2;0,24;0,14;;;0,07;;;;;;;;;1,24;0,03;2936;2974;3475;85,58
14;39;Västra Götalands län;Färgelanda;13,26;12,19;2,91;5,72;26,6;4,42;1,63;32,07;0,28;0,49;;;0,07;0,16;;;;;;;0,02;0,09;0,07;0,02;;;;;;;;;;;;1,31;0,05;4300;4359;4991;87,34
14;40;Västra Götalands län;Ale;18,83;7,03;4,73;6,27;27,94;7,65;3,93;22,25;0,31;0,31;0,02;;0,1;0,11;;0,09;;;;0,04;0,06;0,04;0,18;0,06;;;0,07;;;0,01;;;;;0,05;1,11;0,05;19330;19567;22266;87,88
14;41;Västra Götalands län;Lerum;23,54;8,57;7,45;7,36;22,51;6,57;5,71;17,01;0,44;0,21;0,02;;0,08;0,03;;0,06;;;0,01;0,03;0,01;0,03;0,17;0,03;;;0,13;;;;;;;0,02;0,03;0,9;0,03;27360;27625;30271;91,26
14;42;Västra Götalands län;Vårgårda;14,98;12,37;4,33;12,41;24,85;5,63;3,57;20,56;0,25;0,37;;;0,08;0,17;;0,08;;;0,01;0,01;0,04;0,07;0,11;;;;0,12;;;;;;;;;0,87;0,04;7598;7668;8573;89,44
14;43;Västra Götalands län;Bollebygd;20,23;8,87;5,6;7,73;23,39;5,17;4,09;23,87;0,32;0,16;0,02;;0,11;0,03;;0,06;;;;0,02;0,03;0,02;0,18;;;;0,1;;;;;;;;0,02;0,94;0,06;6209;6273;6915;90,72
14;44;Västra Götalands län;Grästorp;21,05;12,88;3,54;7,19;25,68;3,21;2,05;23,23;0,28;0,46;;;0,03;0,03;;0,03;;;;;;0,13;0,08;;;;0,1;;;;;;;0,05;0,03;1;;3952;3993;4492;88,89
14;45;Västra Götalands län;Essunga;20,48;12,04;2,66;6,77;25,77;5,77;2,47;22,9;0,27;0,4;;;0,05;0,03;;0,16;;;;;0,03;0,08;0,08;;;;;;;;;;;0,05;;0,97;0,03;3764;3802;4322;87,97
14;46;Västra Götalands län;Karlsborg;16,08;10,71;5,31;8,55;28,36;5,09;2,22;22,51;0,19;0,45;;;0,04;0,02;;0,04;;;;0,02;0,02;0,12;0,16;0,04;;;0,04;;;;;;;0,02;0,04;1,38;0,2;4856;4936;5451;90,55
14;47;Västra Götalands län;Gullspång;13,87;8,59;2,48;5,43;35,47;5,9;2,21;23,87;0,91;0,27;;;0,06;0,03;;0,06;;;;0,06;0,18;0,18;0,06;0,09;;;0,12;;;0,18;;;;;0,03;1,34;;3389;3436;3990;86,12
14;52;Västra Götalands län;Tranemo;17,93;14,02;3,81;6,24;29,89;4,53;2,73;19,77;0,21;0,33;0,01;;0,09;0,03;;0,1;;;;;;0,1;0,1;0,04;;;0,07;;;;;;;;0,04;1,16;0,04;7682;7778;8821;88,18
14;60;Västra Götalands län;Bengtsfors;14,29;9,28;2,63;7,42;31,76;5,32;2,33;25,88;0,33;0,4;0,05;;0,1;;;0,03;;;;;;0,05;0,08;0,03;;;0,02;;;;;;;;0,02;0,86;0,03;6013;6068;7103;85,43
14;61;Västra Götalands län;Mellerud;16,38;11,97;2,75;7,11;25,28;4,32;2,52;28,55;0,17;0,4;;;0,05;;;0,14;;;;;0,05;0,05;0,17;0,05;;;0,03;;;;;;;;0,05;0,84;0,03;5783;5837;6778;86,12
14;62;Västra Götalands län;Lilla Edet;14,36;6,74;3,75;5,16;28,71;7,29;2,86;29,75;0,24;0,34;0,03;;0,12;0,13;;0,06;;;;;0,01;0,1;0,16;0,07;;;0,08;;;0,02;;;;0,01;0,24;0,89;0,01;8631;8731;10291;84,84
14;63;Västra Götalands län;Mark;15,99;10,65;5,46;7,06;29,09;7,26;3,31;19,83;0,32;0,26;0,01;;0,08;0,09;0;0,1;;;0,01;0,02;0,08;0,03;0,18;0,03;;;0,1;;;0,01;;0;;0,02;0,04;1,07;0,04;22770;23037;26180;87,99
14;65;Västra Götalands län;Svenljunga;17,42;11,93;4,29;6,77;25,77;4,11;2,15;25,57;0,29;0,28;0,04;;0,04;0,1;;0,1;;;;0,03;0,06;0,89;0,09;;;;0,09;;;;;;;;0,03;1,2;0,06;6884;6974;8014;87,02
14;66;Västra Götalands län;Herrljunga;16,76;12,37;4,89;8,83;24,8;6,04;2,75;21,83;0,42;0,38;0,03;;0,08;0,02;;0,11;;;;;0,14;0,13;0,2;0,03;;;0,17;;;0,02;;;;;0,02;1,18;0,11;6362;6446;7255;88,85
14;70;Västra Götalands län;Vara;21,53;11,78;3,42;6,55;24,94;4,87;1,91;23,66;0,16;0,32;0,03;;0,08;0,15;;0,1;;;;0,01;0,07;0,08;0,14;0,04;;;0,16;;;;;;;;0,07;1,18;0,03;10505;10641;12175;87,4
14;71;Västra Götalands län;Götene;15,42;10,1;3,98;9,46;31,09;6,26;3,59;18,91;0,24;0,16;0,02;;0,03;0,12;;0,14;;;0,01;;0,02;0,11;0,17;0,03;;;0,12;;;;;;;;0,01;1,17;0,09;8860;8974;10064;89,17
14;72;Västra Götalands län;Tibro;16,28;8,31;5,55;9,67;31,22;4,64;2,26;21,13;0,18;0,25;;;0,08;;;0,04;;;;;0,03;0,04;0,15;0,1;;;0,07;;;;;;;0,01;0,03;0,91;0,04;7176;7247;8224;88,12
14;73;Västra Götalands län;Töreboda;17,3;10,88;3,1;6,58;30,52;4,63;2;23,11;0,34;0,49;;;0,07;0,07;;0,08;;;;0,07;0,03;0,27;0,08;0,17;;;0,17;;;0,02;;;;0,03;0,03;1,33;0,02;5938;6021;6924;86,96
14;80;Västra Götalands län;Göteborg;19,86;7,12;7,25;5,52;23,77;14;6,95;13,45;0,84;0,34;0,03;;0,11;0,12;0;0,06;;;0,02;0,03;0,06;0,01;0,25;0,03;;0;0,17;;;0,02;;0;;0,01;0,05;0,75;0,06;349645;352660;418425;84,28
14;81;Västra Götalands län;Mölndal;22,51;8,06;8,24;6,28;24,02;7,63;5,77;15,84;0,47;0,34;0,03;;0,08;0,14;;0,06;;;0;0,04;0,04;;0,23;0,03;;;0,17;;;0,01;;0;;0;0,03;0,8;0,05;43933;44321;49659;89,25
14;82;Västra Götalands län;Kungälv;22,15;8,67;6,05;7,69;25,13;6,2;4,26;18,56;0,38;0,26;0,01;;0,07;0,02;;0,08;;;;0,04;0,03;0,05;0,2;0,09;;;0,05;;;;;;;0,02;0,03;0,82;0,02;30254;30519;33697;90,57
14;84;Västra Götalands län;Lysekil;15,62;7,06;5,43;5,49;32,38;6,6;4,3;21,78;0,2;0,33;0,06;;0,04;0,09;;0,07;;;;0,08;0,05;0,04;0,19;0,01;;;0,14;;;;;;;0,02;0,03;1,1;0,02;9885;10000;11424;87,54
14;85;Västra Götalands län;Uddevalla;18,34;6,6;4,92;7,08;30,32;6,76;3,92;20,6;0,4;0,34;0,02;;0,06;0,06;;0,05;;;0,01;0,01;0,14;0,05;0,19;0,03;;;0,08;;;;;;;0,01;0,02;0,88;0,04;35969;36311;41795;86,88
14;86;Västra Götalands län;Strömstad;18,89;8,41;6,62;7,07;26,24;5,61;4,41;20,92;1,16;0,23;;;0,05;0,05;;0,03;;;0,01;0,01;0,04;0,01;0,07;;;;0,15;;;;;;;0,01;;0,79;0,01;7328;7387;8799;83,95
14;87;Västra Götalands län;Vänersborg;15,99;7,34;4,47;6,72;31,65;6,86;3,56;22,08;0,34;0,39;;0,02;0,07;0,05;;0,07;;;0;0,01;0,07;0,03;0,19;0,04;;;0,06;;;;;;;0;0,05;0,99;0,04;25261;25537;29090;87,79
14;88;Västra Götalands län;Trollhättan;17,74;6,11;4,98;5,07;36,21;6,93;4,35;17,38;0,31;0,37;0,01;;0,08;0,04;;0,06;;;;0,01;0;0,01;0,2;0,04;;;0,08;;;0,01;;;;0,01;0,03;0,92;0,05;36609;36978;42779;86,44
14;89;Västra Götalands län;Alingsås;18,31;9,78;6,74;8,59;26,36;7,79;5,77;15,31;0,42;0,3;;;0,11;0,05;;0,07;;;0,01;0,01;0,02;0,02;0,15;0,03;;;0,16;;;0,01;;;;0,01;0,03;0,8;0,07;27571;27820;30990;89,77
14;90;Västra Götalands län;Borås;20,53;7,26;5,7;6,62;29,53;7,02;3,66;18,37;0,34;0,31;0,01;;0,06;0,05;;0,07;;;;0,02;0,07;0,03;0,14;0,03;;;0,17;;;0;0;;;0;0,03;0,75;0,05;69904;70485;81563;86,42
14;91;Västra Götalands län;Ulricehamn;19,68;12,93;5,1;7,94;24,74;5,54;3,23;19,59;0,22;0,43;0,01;;0,04;0,08;;0,09;;;0,01;0,01;0,02;0,14;0,07;0,02;;;0,11;;;;;;;;0,03;0,9;0,06;16096;16257;18404;88,33
14;92;Västra Götalands län;Åmål;13,79;7,54;3,4;5,89;34,92;6,74;3,06;23,2;0,39;0,57;;;0,06;0,03;;0,08;;;;;;0,01;0,25;0,01;;;0,05;;;;;;;;0,05;1;0,01;7909;7994;9425;84,82
14;93;Västra Götalands län;Mariestad;19,9;8,26;3,69;7,31;33;5,95;3,1;17,59;0,3;0,43;0,01;;0,08;;;0,02;;;;;0,02;0,05;0,12;0,05;;;0,09;;;;;;;0,02;0,04;1,04;0,04;16409;16594;18967;87,49
14;94;Västra Götalands län;Lidköping;17,31;8,9;4,91;7,24;33,21;6,38;3,59;17,3;0,34;0,21;0;;0,05;0,02;;0,04;;;;0,01;0,08;0,03;0,16;0,02;;;0,18;;;;;;;;0,03;0,96;0,04;27303;27587;30824;89,5
14;95;Västra Götalands län;Skara;19,35;8,42;3,64;6,88;30,42;5,97;3,62;20,22;0,37;0,37;;;0,08;0,02;;0,11;;;0,01;0,02;0,01;0,1;0,16;0,05;;;0,19;;;;;;;;0,03;0,88;0,04;12250;12368;14109;87,66
14;96;Västra Götalands län;Skövde;20,9;8,8;5,64;8,04;28,81;5,63;3,4;16,94;0,5;0,34;0,02;;0,1;0,11;;0,06;;;0;0,01;0,05;0,07;0,28;0,05;;;0,23;;;;;;;0;0,02;0,96;0,07;36654;37044;42110;87,97
14;97;Västra Götalands län;Hjo;18,63;9,83;4,04;9,62;27,41;6,21;3,56;19,5;0,5;0,26;0,03;;0,03;;;0,1;;;;;;0,1;0,08;;;;0,11;;;;;;;;0,02;1,08;0,02;6236;6306;7094;88,89
14;98;Västra Götalands län;Tidaholm;13,53;7,38;3,43;6,96;37,78;5,68;2,58;21,52;0,2;0,3;;;0,06;0,02;;0,1;;;;0,01;;0,17;0,12;;;;0,13;;;;;;;0,01;0,06;1,05;0,02;8589;8687;9803;88,62
14;99;Västra Götalands län;Falköping;16,79;9,92;3,69;9,1;29,23;5,92;3,07;20,88;0,37;0,22;0;;0,07;0,03;;0,12;;;0,01;0,01;0,04;0,06;0,13;0,03;;;0,29;;;;;;;0,01;0,03;0,83;0,04;21120;21311;24387;87,39
17;15;Värmlands län;Kil;16,08;10,21;4,57;5,82;31,95;5,98;3,14;21,29;0,24;0,27;;;0,07;;;0,02;;;;0,01;;0,09;0,24;;;;0,02;;;;;;;;0,04;1,39;0,06;8060;8182;9195;88,98
17;30;Värmlands län;Eda;14,37;10,35;2,8;7,42;33,66;5,8;1,25;23,01;0,35;0,18;0,05;;0,02;0,02;;0,09;;;;;0,05;0,37;0,02;0,05;;;0,09;;;0,07;;;;;0,05;1,63;0,05;4329;4405;5348;82,37
17;37;Värmlands län;Torsby;13,94;11,21;3,08;5,15;35,48;6,53;1,85;21,44;0,24;0,16;0,01;;0,11;0,09;;;;;;0,03;0,01;0,36;0,16;0,07;;;0,05;;;0,01;;;;0,01;;1,35;0,05;7509;7616;9099;83,7
17;60;Värmlands län;Storfors;10,72;8,35;2,86;5,34;40,69;6,86;1,22;22,5;0,15;0,27;;;0,11;;;0,08;;;;;0,04;0,61;0,08;;;;0,08;;;;;0,04;;;;1,17;0,11;2622;2656;3051;87,05
17;61;Värmlands län;Hammarö;19,99;8,79;6,6;6,57;34,15;5,73;4,11;13,16;0,27;0,19;;;0,05;0,04;;0,07;;;;0,01;;0,03;0,14;0,03;;;0,08;;;;;;;;0,01;0,62;;10916;10985;12072;91
17;62;Värmlands län;Munkfors;8,33;8,12;2,91;3,93;52,18;6,11;1,37;15,43;0,64;0,51;0,04;;;;;0,04;;;;0,04;;0,09;0,04;0,09;;;0,09;;;;0,04;;;;;1,02;;2340;2364;2777;85,13
17;63;Värmlands län;Forshaga;13,28;7,88;2,79;6,18;39,04;6,46;2,54;20,47;0,32;0,62;;;0,11;;;0,05;;;;0,05;0,07;0,01;0,11;;;;0,03;;;;;;;;0,05;1,09;0,04;7600;7691;8666;88,75
